Topic Category,Page Title,URL,Scrape Date,Content Hash,In Brief Summary,Content Extract
Alvleesklier-kanker,Alvleesklier-kanker,https://www.thuisarts.nl/alvleesklier-kanker,2026-05-31 14:47:44,f0cb9c5fa0be9c115e29d0e621688ee34ab2e8d82134da73921bc3477308f518,N/A,"Bij alvleesklier-kanker kun je deze klachten hebben: geelzucht, donkere plas, lichte kleur poep, afvallen, misselijk zijn, buikpijn. Je krijgt onderzoeken in het ziekenhuis. Bijvoorbeeld een echo en een CT-scan. Of een kijk-onderzoek. Soms kun je een operatie krijgen om de kanker weg te halen. Je kunt voor of na de operatie chemotherapie krijgen. Je kunt ook behandelingen krijgen tegen de klachten. Of om langer te leven. Buikpijn bij volwassenen Moe zijn door kanker die niet meer te genezen is"
Alvleesklier-kanker,Ik krijg onderzoek om te weten of ik alvleesklier-kanker heb,https://www.thuisarts.nl/alvleesklier-kanker/ik-krijg-onderzoek-om-te-weten-of-ik-alvleesklier-kanker-heb,2026-05-31 14:47:44,2f80ca79aee1837c96917c20fac7ab5f36db1ce321c2c350bf406e3d5eb21bf7,"• Bij alvleesklier-kanker kun je deze klachten hebben:
  ◦ Je huid en oogwit zijn geel (geelzucht).
  ◦ Je plas is donker en je poep is heel licht van kleur.
  ◦ Je kunt ook afvallen, misselijk zijn of buikpijn hebben.
• In het ziekenhuis krijg je een echo, een CT-scan of een kijk-onderzoek.
• Vaak kun je alleen een behandeling tegen de klachten krijgen. Soms een behandeling om de alvleesklier-kanker weg te halen.","Bij alvleesklierkanker kun je deze klachten hebben: Je huid en oogwit zijn geel (geelzucht). Je poep is niet bruin, maar beige of grijswit. En vettig. Soms kun je niet goed poepen (verstopping). Je hebt veel dorst of moet veel plassen. Je valt af. Of je hebt minder zin in eten. Of je bent misselijk. Je voelt je opgeblazen. Je laat veel boeren en winden. Je hebt pijn in je buik, bovenin of middenin. Of pijn in je rug, ook bovenin of middenin. Je hebt problemen met slikken. Je bent erg moe en hebt geen energie. Denkt je huisarts dat je klachten komen door alvleesklier-kanker? Dan doet die extra onderzoeken, of stuurt je door naar de maag-darm-leverarts in het ziekenhuis. Je kunt deze onderzoeken krijgen: In je bloed is te zien of je galweg dicht zit door kanker. En hoe goed je lever en nieren werken. Je kunt een echo van je lever, galwegen en alvleesklier krijgen. Daarop kan de arts meestal zien of daar kanker zit. Soms is het belangrijk dat je maag leeg is. Je mag dan een paar uur voor de echo niets meer eten en drinken. Je bespreekt dit van tevoren met de arts. Je kunt een CT-scan van je borstkas en buik krijgen. Daarop kan de arts zien of er alvleesklier-kanker is. En waar in de alvleesklier de kanker zit. En of de kanker is doorgegroeid of naar andere delen van je lichaam is gegaan (uitzaaiingen). Bijvoorbeeld in je lymfeklieren, in je buikholte of in andere organen, zoals de lever."
Alvleesklier-kanker,Ik heb alvleesklier-kanker,https://www.thuisarts.nl/alvleesklier-kanker/ik-heb-alvleesklier-kanker,2026-05-31 14:47:47,9a689933191ddf5c9204aa656eafefdc3824fc3d9acaccca0299ee3255c11d20,"• Bij alvleesklier-kanker kun je deze klachten hebben:
  ◦ Je huid en oogwit zijn geel (geelzucht).
  ◦ Je plas is donker en je poep is heel licht van kleur.
  ◦ Je kunt ook afvallen, misselijk zijn of buikpijn hebben.
• Ongeveer 1 van de 5 mensen kan een operatie krijgen om de kanker weg te halen.
• Je kunt chemotherapie krijgen om te zorgen dat de kanker kleiner wordt. Of tegen de klachten.","De alvleesklier heeft 3 delen: kop Dit is het dikste deel van de alvleesklier. De galweg loopt hierdoorheen. De kop van de alvleesklier ligt vlakbij de galblaas en het eerste stukje van de darm na de maag (de twaalfvingerige darm). staart Dit is het dunnere deel vlakbij de milt. Bij de meeste mensen zit de kanker in de kop van de alvleesklier. Bij sommige mensen in het midden of in de staart. Als alvleesklier-kanker ontdekt wordt, is de kanker vaak al doorgegroeid of naar andere delen van je lichaam gegaan . Dit heten uitzaaiingen. Meestal gaan uitzaaiingen naar de lever, de lymfeklieren, het buikvlies of de longen. Alvleesklier-kanker komt iets vaker voor bij mannen dan bij vrouwen. De meeste mensen die alvleesklier-kanker krijgen, zijn 65 jaar of ouder. Deze klachten kun je hebben bij alvleesklier-kanker: Je huid en oogwit zijn geel (geelzucht). Je poep is niet bruin, maar beige of grijswit. Of vettig. Je kunt soms ook moeilijker poepen (verstopping). Je hebt veel dorst of moet veel plassen. Je valt af. Je hebt minder zin in eten. Je bent misselijk. Je voelt je opgeblazen. Je laat veel boeren en winden. Je hebt pijn in je buik, bovenin of middenin. Of pijn in je rug, ook bovenin of middenin. Je hebt problemen met slikken. Je bent erg moe en hebt geen energie."
Alvleesklier-kanker,Ik heb alvleesklier-kanker en ik heb geelzucht,https://www.thuisarts.nl/alvleesklier-kanker/ik-heb-alvleesklier-kanker-en-ik-heb-geelzucht,2026-05-31 14:47:48,4d8dfce3fe6d7b74504554b3ace32852c7377d425cc3651338922ba5807ffd2d,"• Alvleesklier-kanker drukt soms de galweg dicht. De gal kan dan niet weg.
• Hierdoor kun je geelzucht krijgen.
• Je huid en oogwit worden geel. Ook kun je jeuk over je hele lichaam krijgen.
• Je plas kan donkerder worden en je poep lichter.
• Je kunt een behandeling krijgen. Dan maken artsen de galweg weer open.
• Bel de arts als je na de behandeling weer geelzucht krijgt.","Kanker in de alvleesklier kan de galweg dichtdrukken. De galweg is het groene lijntje in de tekening hieronder. Hij loopt van de lever via de alvleesklier naar het bovenste stukje van de darm (de twaalfvingerige darm). Als de galweg dicht zit, kan de gal niet weg. In gal zitten veel afvalstoffen. Die komen dan in je bloed. Daar word je ziek van. Gal is geel. Daarom worden je huid en oogwit geel. Bij geelzucht kun je deze klachten hebben: Je kunt jeuk over je hele lichaam hebben. Je plas is donker. Zoals thee of cola. Je poep heeft een witte of grijze kleur. Er zijn twee behandelingen die je kunt krijgen om ervoor te zorgen dat de gal weg kan: een plastic of metalen buisje in de galweg (stent) een dun slangetje in de galweg (drain) Tijdens deze behandelingen krijg je medicijnen om rustig en slaperig te worden . Hierdoor merk je er weinig van. Voor deze behandeling krijg je een kijk-onderzoek. Je ligt op je buik en krijgt een slang in je mond. Die gaat tot in je dunne darm. Aan het uiteinde van de slang zit een lampje met een cameraatje eraan. De arts plaatst een plastic of metalen buisje in de galweg. Dit heet een stent. De stent drukt de kanker opzij en houdt zo de galweg open. Hierdoor kan de gal weg. De arts maakt een sneetje in je buik. En plaatst een dun slangetje van de galwegen naar de darm (een drain). Door dit slangetje kan de gal weg naar de darm. Of door de huid naar buiten. Een paar dagen na de behandeling is de geelzucht weg."
Alvleesklier-kanker,Ik heb alvleesklier-kanker en krijg een operatie,https://www.thuisarts.nl/alvleesklier-kanker/ik-heb-alvleesklier-kanker-en-krijg-operatie,2026-05-31 14:47:51,93e4815ab61296d8ed9588e13cd7534594687c3850d8860357b212f8fff402ee,"• Ongeveer 1 van de 5 mensen met alvleesklier-kanker kan een operatie krijgen.
• Bij een operatie haalt de arts de kanker weg.
• Voor of na de operatie krijg je chemotherapie.
• Na de operatie heb je een grotere kans om langer te leven. En de kans is kleiner dat de kanker terugkomt.","Problemen na de operatie Ongeveer 1 van de 5 mensen kan een operatie krijgen om de alvleesklier-kanker weg te halen. Je kunt een operatie krijgen bij deze dingen: De kanker is niet doorgegroeid naar bloedvaten of organen in de buurt van de alvleesklier. De kanker is niet naar andere delen van je lichaam gegaan ( uitzaaiingen ). De kans dat de alvleesklier-kanker na de operatie helemaal weg is, is klein. Door de operatie heb je wel een grotere kans om langer te leven. Soms is eerst een andere behandeling nodig voordat je een operatie kunt krijgen. Bijvoorbeeld deze behandelingen: Chemotherapie : je krijgt medicijnen die de kankercellen doden. Of zorgen dat de kanker minder groeit. Chemotherapie en bestraling. Door deze behandelingen kan de kanker kleiner worden. Hierdoor kan de arts de kanker beter weghalen. Je hebt ook minder kans dat de kanker na de operatie terugkomt. Voor en na de operatie krijg je meestal een afspraak bij een diëtist . Die kijkt of je extra eten en drinken of extra eiwitten nodig hebt. Zo wordt je lichaam zo goed mogelijk voorbereid op de operatie. En kun je na de operatie zo snel mogelijk weer sterker worden. Soms krijg je voor de operatie een prik met het hormoon somatostatine. Dit maakt de kans op problemen na de operatie kleiner. Zoals lekken van vocht uit de wond in de buik. De operatie kan op 2 manieren: via een snee in je buik of met een kijk-operatie. Hoe de operatie gaat, hangt af van de plek van de kanker in de alvleesklier . Tijdens deze operatie haalt de arts deze dingen weg: de kop van de alvleesklier het eerste stukje darm na de maag (de twaalfvingerige darm)"
Asbestkanker in het longvlies of buikvlies,Asbestkanker in het longvlies of buikvlies,https://www.thuisarts.nl/asbestkanker-in-longvlies-of-buikvlies,2026-05-31 14:47:54,666f57dfd7a5aa3f8b1459dbfeb2c7bb9f01b98a79a25d8f08f7cbaccc0b6127,N/A,"Asbestkanker zit in het longvlies of buikvlies. Klachten zijn: moe zijn, afvallen en moeilijk ademen. U krijgt onderzoeken, zoals een CT-scan. U wordt niet meer beter van asbestkanker. Met behandelingen kunt u langer leven of minder klachten krijgen. Asbestkanker komt meestal door werk met asbest. U kunt daarom een vergoeding aanvragen. Moe zijn door kanker die niet meer te genezen is"
Asbestkanker in het longvlies of buikvlies,Ik krijg onderzoeken omdat ik misschien asbestkanker heb in het longvlies of buikvlies,https://www.thuisarts.nl/asbestkanker-in-longvlies-of-buikvlies/onderzoeken-misschien-asbestkanker,2026-05-31 14:47:55,c179cfd6f9741efd6f2bf874b96d45fffc207bd17d521ecbf20f79a0f881967c,"• Asbestkanker zit in het longvlies of buikvlies.
• Het heet ook mesothelioom.
• Klachten zijn: moe zijn, afvallen en moeilijk ademen.
• U krijgt onderzoeken, zoals een CT-scan.
• U wordt niet meer beter van asbestkanker. Met behandelingen kunt u langer leven of minder klachten krijgen.
• Asbestkanker komt meestal door werk met asbest. U kunt daarom een vergoeding aanvragen.","Asbestkanker kan in het longvlies of buikvlies ontstaan. Het longvlies is een dun vlies tussen de ribben en de longen. Het buikvlies ligt om de organen in de buik. Deze ziekte komt maar weinig voor. Ongeveer 550 mensen per jaar krijgen het. Bij ongeveer 90 van de 100 mensen die dit soort kanker krijgen, zit het in het longvlies. Bij ongeveer 8 van de 100 mensen zit de kanker in het buikvlies. Van asbestkanker kunt u niet meer beter worden. U kunt nog wel een behandeling krijgen om langer te leven of minder klachten te krijgen. Klachten bij asbestkanker in het longvlies: Klachten bij asbestkanker in het buikvlies: niet goed kunnen poepen Asbestkanker ontstaat meestal door werken met asbest. Vroeger werd deze stof gebruikt in de bouw, in fabrieken en op scheepswerven. Ongeveer 5 van de 100 mensen die met asbest hebben gewerkt, krijgen deze kanker. Heel soms komt de ziekte door een aangeboren verandering in het DNA. Zo’n verandering erft u meestal van 1 van uw ouders. Dit noemen we een erfelijke aanleg. Om te weten of u asbestkanker heeft, kunt u deze onderzoeken krijgen: vocht uit uw borst of buik halen (punctie) De arts prikt met een dunne naald in uw rug of buik. Zo haalt de arts wat vocht weg. een stukje longvlies of buikvlies wegnemen (biopsie) Eerst zoekt de arts de juiste plek voor het weghalen van een stukje longvlies of buikvlies. Dat wordt gedaan met een echo of een CT-scan . Dan krijgt u een verdoving op die plek. Daarna haalt de arts met een dikke naald een stukje longvlies of buikvlies weg. kijkoperatie De arts kan ook met een kijkoperatie een stukje longvlies of buikvlies weghalen. U wordt dan met medicijnen in slaap gebracht (narcose). U voelt daardoor geen pijn. Daarna maakt de arts 2 tot 3 kleine sneetjes in uw borst of buik. Door de sneetjes passen buisjes. 1 buisje is voor een camera. Zo kan de arts in uw borst of buik kijken. Door een ander buisje kan die een stukje longvlies of buikvlies weghalen voor onderzoek."
Asbestkanker in het longvlies of buikvlies,Ik heb asbestkanker in het longvlies,https://www.thuisarts.nl/asbestkanker-in-longvlies-of-buikvlies/ik-heb-asbestkanker-in-longvlies,2026-05-31 14:47:57,3e2145a0d5fe3abf84d73fdb83e6932708c403f1e8920eb8e891f77f05191360,"• Asbestkanker komt meestal door werk met asbest. Het komt vooral voor bij mannen.
• Klachten zijn:
  ◦ pijn in de borst, moeilijk ademen, hoesten
  ◦ afvallen
  ◦ moe zijn
• U wordt niet meer beter van asbestkanker in het longvlies. Met behandelingen kunt u langer leven of minder klachten krijgen.
• Bespreek uw vragen en zorgen met uw arts.","Behandeling langer leven en minder klachten Behandeling minder klachten Het longvlies is een dun vlies tussen de ribben en de longen. Het beschermt de longen. Hierin kan kanker ontstaan. Als u asbestkanker in het longvlies heeft, kunt u niet meer beter worden. U kunt nog wel een behandeling krijgen om langer te leven of minder klachten te krijgen. Klachten bij kanker in het longvlies: Asbestkanker komt meestal door werken met asbest. Vroeger werd deze stof gebruikt in de bouw, in fabrieken en op scheepswerven. Ongeveer 5 van de 100 mensen die met asbest hebben gewerkt, krijgen asbestkanker. Heel soms komt de ziekte door een aangeboren verandering in het DNA. Zo’n verandering erft u meestal van 1 van uw ouders. Dit noemen we een erfelijke aanleg. Er zijn twee soorten behandelingen bij asbestkanker in het longvlies: behandelingen om langer te leven en uw klachten minder te maken behandelingen om uw klachten minder te maken Alle behandelingen hebben voordelen en nadelen. Welke behandeling u kunt krijgen, hangt van veel dingen af, zoals: hoe ver de kanker is gegroeid of de kanker ook op andere plaatsen in uw lichaam zit Bespreek met uw arts welke behandeling voor u mogelijk is, en wat de voordelen en nadelen van de behandeling zijn."
Asbestkanker in het longvlies of buikvlies,Ik heb asbestkanker in het buikvlies,https://www.thuisarts.nl/asbestkanker-in-longvlies-of-buikvlies/ik-heb-asbestkanker-in-buikvlies,2026-05-31 14:47:58,e9103959f30f23a36f387472dd4cd9f065ae870d1a7cb493ef822ce1ec62061c,"• Asbestkanker komt meestal door werk met asbest. Het komt vooral voor bij mannen.
• Klachten zijn:
  ◦ pijn in de buik, niet goed kunnen poepen
  ◦ moeilijk ademen
  ◦ afvallen
  ◦ moe zijn
• U wordt meestal niet meer beter van asbestkanker in het buikvlies. Met behandelingen kunt u langer leven of minder klachten krijgen. Een operatie is heel soms mogelijk.
• Bespreek uw vragen en zorgen met uw arts.","Behandeling langer leven en minder klachten Behandeling minder klachten Het buikvlies ligt om de organen in de buik. In dit vlies kan kanker ontstaan. U wordt meestal niet meer beter van asbestkanker in het buikvlies. Met behandelingen kunt u langer leven of minder klachten krijgen. Een operatie is heel soms mogelijk. Klachten bij kanker in het buikvlies: niet goed kunnen poepen Asbestkanker in het buikvlies komt meestal door werk met asbest. Vroeger werd deze stof gebruikt in de bouw, in fabrieken en op scheepswerven. Daar ademden of slikten mensen tijdens hun werk asbestvezels in. Daarom komt het vaker voor bij mannen dan bij vrouwen. Ongeveer 5 van de 100 mensen die met asbest hebben gewerkt, krijgen asbestkanker. Heel soms komt de ziekte door een aangeboren verandering in het DNA. Zo’n verandering erft u meestal van 1 van uw ouders. Dit noemen we een erfelijke aanleg. Er zijn twee soorten behandelingen bij asbestkanker in het buikvlies: behandelingen om langer te leven en uw klachten minder te maken behandelingen om uw klachten minder te maken Alle behandelingen hebben voordelen en nadelen. Welke behandeling u kunt krijgen, hangt van veel dingen af, zoals: hoe ver de kanker is gegroeid"
Baarmoederhalskanker,Baarmoederhalskanker,https://www.thuisarts.nl/baarmoederhalskanker-0,2026-05-31 14:48:01,47e7bba0f552a0dda78d3fae1e2fbe347700fb90bfbe1f82eeae587125828e17,N/A,Uitstrijkje baarmoederhals Behandelingen van de baarmoederhals
