question_id,topic,journey_stage,question_text,why_it_matters
Q-001,Referrals and process,Pre-Diagnosis,How do I get referred to a cancer specialist?,First-step navigation; patients often don't know who to ask.
Q-002,Referrals and process,Pre-Diagnosis,"Can my GP refer me directly, or do I need a specific test first?",Common entry-point confusion in the Dutch system.
Q-003,Referrals and process,Diagnosis,Which hospital should I go to for my type of cancer?,Centres of expertise vary by cancer type in the Netherlands.
Q-004,Referrals and process,Diagnosis,Can I choose which hospital to be referred to?,Patient agency question — important under Dutch insurance rules.
Q-005,Referrals and process,Diagnosis,What happens after my GP refers me — who contacts me?,Manages anxiety about the unknown next step.
Q-006,Waiting Times,Diagnosis,How long until I get my diagnosis after a suspicious test result?,Most-asked question per CSN community feedback.
Q-007,Waiting Times,Diagnosis,What is a normal waiting time for an MRI or CT scan?,Calibrates expectations against legal Dutch maxima.
Q-008,Waiting Times,Treatment,How long until I start treatment after diagnosis?,Critical anxiety point; affects mental health outcomes.
Q-009,Waiting Times,Treatment,What if I have to wait longer than the legal maximum?,Patient rights question — Treeknormen in NL.
Q-010,Waiting Times,Treatment,Can I get faster treatment if I go to a different hospital?,Practical decision-making question.
Q-011,Treatment Decisions,Treatment,What treatment options do I have for my cancer?,Foundational question — answer depends on cancer type & stage.
Q-012,Treatment Decisions,Treatment,What are the side effects of my treatment?,Quality-of-life driver; affects treatment acceptance.
Q-013,Treatment Decisions,Treatment,Can I take part in a clinical trial?,Often-missed option; trials are listed centrally in NL.
Q-014,Treatment Decisions,Treatment,What happens if I decide not to have treatment?,Autonomy question; rarely surfaced but important.
Q-015,Treatment Decisions,Treatment,"How do I decide between surgery, chemotherapy, and radiotherapy?",Shared decision-making — central to Dutch cancer care policy.
Q-016,Treatment Decisions,Treatment,Will my treatment affect my fertility?,Often forgotten in initial consultations; time-sensitive.
Q-017,Second Opinions,Diagnosis,Can I get a second opinion before starting treatment?,Patient right under Dutch healthcare law.
Q-018,Second Opinions,Diagnosis,How do I ask my doctor for a second opinion without offending them?,Relational barrier; very common patient hesitation.
Q-019,Second Opinions,Diagnosis,Will my insurance cover a second opinion?,Removes the financial uncertainty barrier.
Q-020,Second Opinions,Treatment,Where can I get an independent second opinion for my cancer type?,Practical signposting — IKNL / centres of expertise.
Q-021,Additional Care & Support,Treatment,What psychological support is available during treatment?,Mental health support is under-used in NL cancer care.
Q-022,Additional Care & Support,Treatment,Can I get help with practical things like meals or transport?,Day-to-day burden often outweighs medical questions.
Q-023,Additional Care & Support,Post-Treatment,What rehabilitation programmes are available after treatment?,Onco-revalidatie programmes — well-developed in NL but under-publicised.
Q-024,Additional Care & Support,Post-Treatment,How do I cope with fear of cancer recurrence?,Top-3 long-term concern; under-served by clinical care.
Q-025,Additional Care & Support,Treatment,Where can I find support groups for people with my cancer?,Peer support is a CSN core service.
Q-026,Additional Care & Support,Treatment,What financial help is available if I can't work during treatment?,WIA / UWV navigation; major source of patient stress.
Q-027,Communication & Understanding,Diagnosis,What questions should I ask my oncologist at my first appointment?,Empowerment question; prep checklist is high-value content.
Q-028,Communication & Understanding,Diagnosis,Can I bring someone with me to medical appointments?,Often unstated patient right; reduces information loss.
Q-029,Communication & Understanding,Treatment,How do I get a copy of my medical records?,Patient-portal access; legal right under WGBO.
Q-030,Communication & Understanding,Treatment,"What do common medical terms (e.g. 'metastatic', 'remission') mean?",Plain-language glossary; reduces consultation anxiety.
Q-031,Additional Care & Support,First 48 Hours ,How do I talk to my family or children about my diagnosis?,High-emotion question; CSN already provides resources here.
Q-032,Communication & Understanding,Pre-Diagnosis,Where can I find information about my cancer in plain English (not medical jargon)?,Core CSN mission — direct match to chatbot purpose.
Q-033,Referrals and process,Diagnosis,Can I be referred to a specialist if I don't yet speak Dutch? ,Language barriers can delay access to specialist care and create uncertainty during the referral process.
Q-034,Referrals and process,Diagnosis,Can I change hospitals after I have already been referred?,Patients may identify a hospital with greater expertise or shorter waiting times after referral.
Q-035,Waiting Times,Diagnosis,How can I check waiting times at different hospitals? ,Supports informed decision-making and helps patients compare treatment options across providers. 
Q-036,Waiting Times,Treatment,Who can help me if I think my care is being delayed?,Patients often do not know their escalation options when experiencing delays in diagnosis or treatment.
Q-037,Treatment Decisions,Treatment,Can I receive treatment in English?,Relevant to CSN's target audience of international cancer patients navigating the Dutch healthcare system in a second language.
Q-038,Treatment Decisions,Treatment,Will my treatment plan be discussed by a multidisciplinary team? ,Helps patients understand how treatment decisions are made within the Dutch oncology system.
