Cancer_type,Source_URL,Topic,Question,General_description,Journey_stage,Support_type,Treatment,Next_step,Keywords,Date
All / General,https://nfk.nl/themas/vroegtijdige-opsporing-van-kanker-in-hoogrisicogroepen,Early Detection in High-Risk Groups,What is available regarding early detection for high-risk groups?,"NFK zet zich in voor een betere vroegtijdige opsporing van kanker bij hoogrisicogroepen, zoals mensen met een erfelijke aanleg of familiegeschiedenis, om de gevolgen van de ziekte zoveel mogelijk te beperken.",Diagnosis / Prevention,Prevention & Early Detection,Not treatment-specific,Bespreek je familiegeschiedenis of erfelijke risico's met je huisarts en vraag zo nodig doorverwijzing naar klinische genetica.,"early detection, high risk, hereditary, genetics, prevention",2026-05-25
All / General,https://nfk.nl/themas/samen-beslissen,Shared Decision Making,What is Shared Decision Making?,"Samen Beslissen betekent dat jij en je arts samen beslissen over de behandeling. Medische feiten worden gecombineerd met jouw persoonlijke situatie, wensen en dagelijkse prioriteiten.",Diagnosis / Treatment,Decision Making,All types,Bereid je vragen en voorkeuren voor voordat je naar een consult gaat. Gebruik gespreks hulpmiddelen van NFK.,"shared decision making, patient involvement",2026-05-25
All / General,https://nfk.nl/themas/samen-beslissen/wat-is-samen-beslissen,Patient Rights as a Cancer Patient,What are my rights as a cancer patient?,"Als kankerpatiënt in Nederland heb je belangrijke rechten, waaronder duidelijke informatie, toestemming voor behandeling, inzage in je medisch dossier, een second opinion en deelname aan besluitvorming.",Throughout the Journey,Patient Rights,General,Vraag je arts om duidelijke informatie en vraag inzage in je medisch dossier. Overweeg een second opinion als je twijfelt.,"patient rights, second opinion, medical records",2026-05-25
All / General,https://nfk.nl/onze-doelen/passende-zorg-in-het-juiste-ziekenhuis,Right to Appropriate / Expert Care,What is my right to appropriate/expert care?,"Je hebt het recht om de best mogelijke zorg te krijgen in het meest geschikte gespecialiseerde ziekenhuis, passend bij jouw kankersoort en persoonlijke behoeften.",Diagnosis / Treatment,Care Quality,Specialized hospital,Bespreek met je specialist welk ziekenhuis de beste expertise heeft voor jouw kankersoort en vraag een doorverwijzing aan indien nodig.,"expert care, specialized hospital",2026-05-25
All / General,https://nfk.nl/onze-doelen/goed-leven-met-kanker,Support - Quality of Life,What support is available for quality of life?,"NFK komt op voor een goede kwaliteit van het dagelijks leven voor mensen die leven met of na kanker en hun naasten, met ondersteuning om deel te nemen aan de samenleving.",Aftercare / Recovery,Quality of Life,Not treatment-specific,Deel je ervaringen via NFK’s ‘Doneer je Ervaring’ en maak contact met ondersteuningsnetwerken.,"quality of life, daily living",2026-05-25
All / General,https://nfk.nl/themas/leefstijl-tijdens-en-na-de-behandeling,Support - Lifestyle During and After Treatment,What support is available for lifestyle during and after treatment?,Praktische hulpmiddelen en advies om een gezonde leefstijl te behouden tijdens en na de kankerbehandeling.,During and After Treatment,Lifestyle Support,During and after,Gebruik de Leefstijlroer tool op kanker.nl en begin met kleine gezonde leefstijlveranderingen.,"lifestyle, nutrition, exercise",2026-05-25
All / General,https://nfk.nl/aangesloten-organisaties,Support - Affiliated Organizations,Where can I find peer support for my cancer type?,NFK is de koepelorganisatie voor 22 kankerpatiëntenorganisaties die gerichte lotgenotenondersteuning en informatie bieden.,Throughout the Journey,Peer & Specific Support,Not treatment-specific,Ga naar de pagina met aangesloten organisaties en neem contact op met de groep die past bij jouw kankersoort.,"peer support, patient organizations",2026-05-25
All / General,https://nfk.nl/themas/zeldzame-kankers,Rare Cancer Support,What support is available for rare cancers?,"NFK ondersteunt betere erkenning, onderzoek en gespecialiseerde zorg voor mensen met zeldzame kankers via aangesloten organisaties.",Throughout the Journey,Rare Cancer Support,Specialized for rare,Neem contact op met de patiëntenorganisatie voor jouw zeldzame kankersoort via de lijst van NFK.,"rare cancer, specialized care",2026-05-25
All / General,https://nfk.nl/themas/transparantie,Transparency in Healthcare,What does NFK say about transparency in healthcare?,"NFK pleit voor meer transparantie over ziekenhuisresultaten, behandeluitkomsten en zorgdata zodat patiënten betere keuzes kunnen maken.",Throughout the Journey,Transparency & Information,Not treatment-specific,Gebruik informatie over ziekenhuisprestaties en uitkomsten bij het kiezen van je behandellocatie.,"transparency, hospital performance",2026-05-25
All / General,https://nfk.nl/themas/laatste-levensfase,Final Phase of Life,What support is available in the final phase of life?,"NFK richt zich op kwaliteit van leven, palliatieve zorg en passende beslissingen in de laatste levensfase.",Palliative Phase,Palliative & End-of-Life Care,Palliative,Bespreek je wensen en voorkeuren voor palliatieve zorg tijdig met je arts en naasten.,"palliative care, end of life",2026-05-25
All / General,https://nfk.nl/themas/kanker-en-verzekeren,Cancer and Insurance,What support is available regarding cancer and insurance?,"NFK houdt zich bezig met verzekeringsvraagstukken voor kankerpatiënten, waaronder het 'recht om vergeten te worden' na een bepaalde periode zonder kanker.",Throughout the Journey,Insurance & Financial,Not treatment-specific,Neem contact op met NFK als je problemen hebt met verzekeringen of het recht om vergeten te worden.,"insurance, right to be forgotten",2026-05-25
All / General,https://nfk.nl/themas/kanker-en-werk,Cancer and Work,What support is available regarding cancer and work?,"NFK biedt belangenbehartiging en informatie over werk, re-integratie en rechten voor mensen die kanker hebben (gehad).",During and After Treatment,Work & Reintegration,During and after,Vraag bij je werkgever of arbodienst naar ondersteuning en re-integratiemogelijkheden.,"work, reintegration, employment",2026-05-25
All / General,https://nfk.nl/english,NFK General Contact,Who do I contact at NFK for general support?,Algemeen contact voor vragen en ondersteuning bij NFK.,General / Support,Helpline & Contact,Not treatment-specific,Bel +31 88 00 29 777 of mail secretariaat@nfk.nl voor algemene vragen en begeleiding.,"contact, helpline, support",2026-05-25
