Cancer Type,Source URL,Scrape Date,Content Hash,General Description,Prognosis (Vooruitzichten),Symptoms (Symptomen),Causes (Oorzaken),Treatments (Behandeling),General Description_en,Prognosis (Vooruitzichten)_en,Symptoms (Symptomen)_en,Causes (Oorzaken)_en,Treatments (Behandeling)_en,trustworthiness
Atypisch fibroxanthoom,https://www.kanker.nl/kankersoorten/atypisch-fibroxanthoom,2026-05-31 14:54:16,1e9d9d820125ef55a3a41c4a2e52dae16c9ea16aac5adb3aba62c718a2c82107,"Een atypisch fibroxanthoomis een zeldzame soort huidkanker. Deze soort huidkanker groeit snel, maar zaait bijna nooit uit.",Een atypisch fibroxanthoom is goed te behandelen. De kans dat je geneest is heel groot.,"Een atypisch fibroxanthoom is een knobbel op je huid, meestal roze of rood. Soms zit er een wondje op de knobbel. Soms doet de knobbel pijn. Lees hoe een atypisch fibroxanthoom eruitziet .",De belangrijkste risicofactor voor een atypisch fibroxanthoom is de zon. De zon geeft uv-straling af. Met veel uv-straling op je huid heb je meer kans om een atypisch fibroxanthoom te krijgen.,Heb je een atypisch fibroxanthoom? Dan krijg je meestal een operatie om de tumor weg te halen.,"Atypical fibroxanthoma is a rare type of skin cancer. This type of skin cancer grows quickly, but almost never spreads.",Atypical fibroxanthoma is easy to treat. The chance that you will be cured is very high.,"An atypical fibroxanthoma is a lump on your skin, usually pink or red. Sometimes there is a wound on the lump. Sometimes the lump hurts. Read what an atypical fibroxanthoma looks like.",The main risk factor for atypical fibroxanthoma is the sun. The sun emits UV radiation. With a lot of UV radiation on your skin you are more likely to get atypical fibroxanthoma.,Do you have atypical fibroxanthoma? You will then usually have an operation to remove the tumor.,4.9
Anuskanker,https://www.kanker.nl/kankersoorten/anuskanker,2026-05-31 14:54:16,7d98bfe6993858028e2ba2907643560fd902476999d88e2b663d3c0dce937275,Anuskanker is kanker die ontstaat in de anus. Of in de huid om de anus heen. Een ander woord voor anus is poepgat. Anuskanker komt weinig voor. Per jaar krijgen ongeveer 300 mensen de diagnose. Anuskanker heet ook wel anuscarcinoom.,"Veel mensen gaan op zoek naar wat anuskanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Je vooruitzichten hangen af van verschillende dingen. Bijvoorbeeld hoe vroeg de ziekte is ontdekt. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan meer vertellen. Bekijk de overlevingscijfers van anuskanker .",Bij anuskanker kan zitten of poepen pijnlijk zijn. Ook kun je een zwelling of knobbeltje hebben aan je anus. Of je hebt bloed bij je ontlasting (poep). Het kan ook zijn dat je vaker naar de wc moet om te poepen. Of juist minder vaak. Sommige mensen met anuskanker hebben lange tijd geen klachten.,"De oorzaak van anuskanker is meestal een infectie met HPV. Iedereen kan een infectie met HPV krijgen. Maar de kans dat HPV tot kanker leidt, is heel klein.","Er zijn verschillende behandelingen mogelijk bij anuskanker. De meeste mensen krijgen bestraling. Dat kan in combinatie met chemotherapie zijn, dan heet de behandeling chemoradiatie.",Anal cancer is cancer that originates in the anus. Or in the skin around the anus. Another word for anus is poop hole. Anal cancer is rare. About 300 people are diagnosed each year. Anal cancer is also called anal carcinoma.,"Many people start looking for what anal cancer means for their prospects. Is this cancer easy to treat and what can I expect? Sometimes there is something to be said about that, but sometimes not. Your prospects depend on several things. For example, how early the disease was discovered. Do you want to know where you stand? Ask your doctor. He can tell more. View anal cancer survival rates.","With anal cancer, sitting or defecating can be painful. You may also have a swelling or lump on your anus. Or you have blood in your stool (poo). You may also have to go to the toilet more often to defecate. Or less often. Some people with anal cancer have no complaints for a long time.",The cause of anal cancer is usually an infection with HPV. Anyone can get an infection with HPV. But the chance that HPV will lead to cancer is very small.,"There are various treatments available for anal cancer. Most people receive radiation. This can be in combination with chemotherapy, in which case the treatment is called chemoradiation.",4.9
Alvleesklierkanker,https://www.kanker.nl/kankersoorten/alvleesklierkanker,2026-05-31 14:54:16,515c325291ac6227198437847323f544c62d3113f7b22adf3174c7841cb34770,Alvleesklierkanker is kanker die in de alvleesklier ontstaat. De medische term hiervoor is pancreascarcinoom of pancreaskanker. De vooruitzichten bij alvleesklierkanker zijn meestal niet goed.,"De vooruitzichten bij alvleesklierkanker zijn niet goed. Dat komt omdat alvleesklierkanker vaak pas wordt ontdekt als je al uitzaaiingen hebt. Maar ook als je geen uitzaaiingen hebt, is de kans klein dat je beter wordt. Vijf jaar na de diagnose leven nog ongeveer 5 van de 100 mensen. De beste overlevingskansen zijn als de tumor met een operatie verwijderd kan worden, in combinatie met chemotherapie behandeling. Bekijk de overlevingscijfers van alvleesklierkanker .","De meeste mensen met alvleesklierkanker hebben in het begin geen klachten. Als de tumor groeit, kun je last krijgen van bijvoorbeeld geelzucht, afvallen, pijn of misselijkheid.",De precieze oorzaak van alvleesklierkanker is niet bekend. Wel zijn er factoren die de kans groter maken dat je alvleesklierkanker krijgt.,De meeste mensen met alvleesklierkanker krijgen chemotherapie of een behandeling tegen de klachten van de kanker. Soms krijg je een operatie. Dat kan meestal alleen als je geen uitzaaiingen hebt. Of als de tumor niet doorgroeit in de grote bloedvaten.,Pancreatic cancer is cancer that originates in the pancreas. The medical term for this is pancreatic carcinoma or pancreatic cancer. The outlook for pancreatic cancer is usually not good.,"The outlook for pancreatic cancer is not good. This is because pancreatic cancer is often only discovered when it has already spread. But even if you have no metastases, the chance that you will get better is small. Five years after diagnosis, approximately 5 out of 100 people are still alive. The best chances of survival are if the tumor can be removed with surgery, in combination with chemotherapy treatment. View pancreatic cancer survival rates.","Most people with pancreatic cancer initially have no symptoms. If the tumor grows, you may experience jaundice, weight loss, pain or nausea.","The precise cause of pancreatic cancer is not known. However, there are factors that increase the chance that you will develop pancreatic cancer.",Most people with pancreatic cancer receive chemotherapy or treatment for the symptoms of the cancer. Sometimes you have an operation. This is usually only possible if you have no metastases. Or if the tumor does not grow into the large blood vessels.,4.9
Baarmoederkanker,https://www.kanker.nl/kankersoorten/baarmoederkanker,2026-05-31 14:54:16,22ef65afdf18a6b7611fe890c9ea7f3e23bd24abdb5abde937d0986eeee38677,Baarmoederkanker is kanker die in de baarmoeder ontstaat. Het medische woord is endometriumcarcinoom. Baarmoederkanker komt meestal voor na de overgang.,"Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is baarmoederkanker goed te behandelen en wat kun je verwachten?  Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen. Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van baarmoederkanker .",Baarmoederkanker ontstaat heel langzaam. In het begin heb je vaak geen klachten. De eerste symptomen zijn meestal: onverwacht bloedverlies uit je vagina na de overgang of tussen je menstruaties door.,Er zijn risicofactoren die de kans op baarmoederkanker groter maken. Jarenlang veel oestrogeen hebben is de grootste risicofactor.,"Er zijn verschillende behandelingen mogelijk bij baarmoederkanker. Zoals een operatie, chemoradiatie, bestraling, chemotherapie, hormoontherapie of immunotherapie.",Uterine cancer is cancer that develops in the uterus. The medical word is endometrial carcinoma. Uterine cancer usually occurs after menopause.,"It is understandable that you want to know more about your prospects. Is uterine cancer easy to treat and what can you expect?  Sometimes there is something to be said about that, but sometimes not. That depends on several things. For example, the size of the tumor and whether there are metastases. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. View uterine cancer survival rates.",Uterine cancer develops very slowly. In the beginning you often have no complaints. The first symptoms are usually: unexpected bleeding from your vagina after menopause or between your periods.,There are risk factors that increase the risk of uterine cancer. Having a lot of estrogen for years is the biggest risk factor.,"There are various treatments available for uterine cancer. Such as surgery, chemoradiation, radiation, chemotherapy, hormone therapy or immunotherapy.",4.9
Baarmoedersarcoom,https://www.kanker.nl/kankersoorten/baarmoedersarcoom,2026-05-31 14:54:23,0c1e045610d38fad6ed9c8354bb18dc59fa8a12daf37bd75945047efd3e8caab,Een baarmoedersarcoom is een zeldzame vorm van kanker in de baarmoeder. De tumor ontstaat in het spierweefsel of bindweefsel van de baarmoeder. Een ander woord voor baarmoedersarcoom is uterussarcoom.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is baarmoedersarcoom goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen. Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van baarmoedersarcoom .",Baarmoedersarcoom kun je opmerken doordat je onverwacht bloed verliest uit je vagina. Na de overgang of tussen je menstruaties door.,Deze informatie is gecontroleerd door deskundigen.,"Ben je in het verleden bestraald op je bekken, bijvoorbeeld voor baarmoederhalskanker of endeldarmkanker? Dan heb je een grotere kans om na de behandeling baarmoedersarcoom te krijgen.",A uterine sarcoma is a rare form of cancer in the uterus. The tumor arises in the muscle tissue or connective tissue of the uterus. Another word for uterine sarcoma is uterine sarcoma.,"It's understandable that you want to know more about your prospects. Is uterine sarcoma easy to treat and what can you expect? Sometimes there is something to be said about that, but sometimes not. That depends on several things. For example, the size of the tumor and whether there are metastases. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. View uterine sarcoma survival rates.",You can notice uterine sarcoma because you unexpectedly lose blood from your vagina. After menopause or between your periods.,This information has been checked by experts.,"Have you had radiation to your pelvis in the past, for example for cervical cancer or rectal cancer? Then you have a greater chance of developing uterine sarcoma after treatment.",4.9
Basaalcelcarcinoom,https://www.kanker.nl/kankersoorten/basaalcelcarcinoom,2026-05-31 14:54:31,4ee1720136ce0e585bb04fdce978557e365b33321e0c21c2ab907cd65ef03359,Een basaalcelcarcinoom is een kwaadaardig plekje dat ontstaat op je huid. Het is de meest voorkomende vorm van huidkanker. Een basaalcelcarcinoom groeit langzaam en zaait bijna nooit uit.,Een basaalcelcarcinoom zaait bijna nooit uit. De arts kan het plekje vaak helemaal weghalen. Daarom genezen bijna alle mensen met een basaalcelcarcinoom.,Een basaalcelcarcinoom kan er heel verschillend uitzien. In het begin lijkt een basaalcelcarcinoom vaak op iets anders. Bijvoorbeeld op een glad knobbeltje of zweertje. Soms lijkt het op een plekje met eczeem of schimmel. Of op een moedervlek. Een basaalcelcarcinoom doet geen pijn en jeukt bijna nooit.,Er zijn factoren die het risico op een basaalcelcarcinoom groter maken. De belangrijkste is uv-straling van de zon of zonnebank.,Meestal snijdt de arts het basaalcelcarcinoom weg. Soms wordt de plek bestraald. Of krijg je een behandeling met een crème.,A basal cell carcinoma is a malignant spot that develops on your skin. It is the most common form of skin cancer. Basal cell carcinoma grows slowly and almost never spreads.,Basal cell carcinoma almost never spreads. The doctor can often remove the spot completely. That is why almost all people with basal cell carcinoma recover.,"A basal cell carcinoma can look very different. In the beginning, a basal cell carcinoma often looks like something else. For example on a smooth lump or ulcer. Sometimes it looks like a spot with eczema or fungus. Or on a birthmark. Basal cell carcinoma does not hurt and is almost never itchy.",There are factors that increase the risk of basal cell carcinoma. The most important is UV radiation from the sun or tanning bed.,The doctor usually cuts away the basal cell carcinoma. Sometimes the area is irradiated. Or you will receive a treatment with a cream.,4.9
Baarmoederhalskanker,https://www.kanker.nl/kankersoorten/baarmoederhalskanker,2026-05-31 14:54:16,6acedcc94f6272d35440d61eb2acf6d75be3a31bfae9995f0cc850ec1efe2a17,Baarmoederhalskanker is kanker die in de baarmoederhals ontstaat. Het medische woord is cervixcarcinoom. Baarmoederhalskanker wordt meestal ontdekt bij het bevolkingsonderzoek baarmoederhalskanker.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is baarmoederhalskanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van baarmoederhalskanker .","Baarmoederhalskanker ontstaat langzaam. In het begin heb je vaak geen klachten. De eerste symptomen kunnen zijn: bloedverlies na het vrijen, bloedverlies tussen de menstruaties door, afscheiding die er anders uitziet dan je gewend bent.","Door seks kan het HPV in de vagina en baarmoederhals komen. Het virus kan dan in de cellen van het slijmvlies van de baarmoederhals gaan zitten. Bij de meeste vrouwen ruimt het afweersysteem HPV op. Als het afweersysteem HPV niet opruimt, kunnen er afwijkende cellen ontstaan. Dit heet dysplasie en kan het voorstadium van baarmoederhalskanker zijn. Zijn de cellen een beetje afwijkend? Dan kan het lichaam die cellen herkennen en zelf opruimen. Soms gebeurt dat niet. Dan gaan de cellen steeds meer afwijken van gezonde cellen. Zonder behandeling kunnen die afwijkende cellen dan veranderen in baarmoederhalskanker. Dat gebeurt meestal heel langzaam en kan wel 15 jaar duren. Meestal merk je er zelf niets van dat er afwijkende cellen in je baarmoederhals zitten. Daarom is er het bevolkingsonderzoek baarmoederhalskanker .",Je arts vertelt je welke behandelingen mogelijk zijn in jouw situatie. En hij of zij vertelt ook wat de voordelen en nadelen van die behandelingen zijn. Vertel je arts wat je belangrijk vindt. Dan kunnen jullie samen kijken wat het beste bij je past. Je kunt ook besluiten dat je geen behandeling wilt.,Cervical cancer is cancer that develops in the cervix. The medical word is cervical carcinoma. Cervical cancer is usually discovered during the cervical cancer screening program.,"It's understandable that you want to know more about your prospects. Is cervical cancer easy to treat and what can you expect? Sometimes there is something to be said about that, but sometimes not. That depends on several things, for example the size of the tumor and whether there are metastases. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. Or check out the cervical cancer survival rates.","Cervical cancer develops slowly. In the beginning you often have no complaints. The first symptoms may be: blood loss after sex, blood loss between menstruations, discharge that looks different than you are used to.","Through sex, HPV can enter the vagina and cervix. The virus can then settle in the cells of the mucous membrane of the cervix. In most women, the immune system clears HPV. If the immune system does not clear HPV, abnormal cells may develop. This is called dysplasia and can be the precursor to cervical cancer. Are the cells a little different? The body can then recognize those cells and clean them up itself. Sometimes that doesn't happen. Then the cells become increasingly different from healthy cells. Without treatment, these abnormal cells can then turn into cervical cancer. This usually happens very slowly and can take up to 15 years. Usually you do not notice that there are abnormal cells in your cervix. That is why there is the cervical cancer population screening.",Your doctor will tell you which treatments are possible in your situation. And he or she also explains the advantages and disadvantages of those treatments. Tell your doctor what is important to you. Then you can see together what suits you best. You can also decide that you do not want treatment.,4.9
Bijnierkanker,https://www.kanker.nl/kankersoorten/bijnierkanker,2026-05-31 14:54:31,3b828efff9d621e9e004ca70653dbe46a9de47f281a8f5155dcaa201b12855cd,"Bijnierkanker is kanker die ontstaat in de bijnier. De bijnieren zitten bovenop de nieren, aan de achterkant van je buik. Ze maken hormonen. Bijnierkanker komt weinig voor. Per jaar krijgen ongeveer 30 mensen de diagnose. Een ander woord voor bijnierkanker is bijniercarcinoom.","Veel mensen gaan op zoek naar wat bijnierkanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Hoe de ziekte verloopt, verschilt per persoon. De ziekte kan snel gaan, maar door de behandeling kun je soms nog een tijd leven, ook met uitzaaiingen. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de cijfers over bijnierkanker .",Bij bijnierkanker heb je niet altijd klachten. Sommige mensen krijgen een hoge bloeddruk of worden zwaarder zonder dat duidelijk is waarom. Of mensen krijgen snel blauwe plekken en hebben wondjes die niet goed genezen. Maar de klachten zijn niet bij iedereen hetzelfde.,Hierdoor is je kans op bijnierkanker groter: Beckwith-Wiedeman syndroom Li-Fraumeni syndroom Familiaire adenomateuze polyposis (FAP),"De meeste mensen met bijnierkanker krijgen een operatie. Dan verwijdert de arts je bijnier met de tumor erin. Maar je kunt ook medicijnen krijgen, zoals chemotherapie.","Adrenal cancer is cancer that originates in the adrenal gland. The adrenal glands sit on top of the kidneys, at the back of your abdomen. They make hormones. Adrenal cancer is rare. About 30 people are diagnosed each year. Another word for adrenal cancer is adrenal carcinoma.","Many people start looking for what adrenal cancer means for their prospects. Is this cancer easy to treat and what can I expect? Sometimes there is something to be said about that, but sometimes not. The progression of the disease varies from person to person. The disease can progress quickly, but treatment can sometimes allow you to live for a while, even with metastases. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. View the figures on adrenal cancer.",With adrenal cancer you do not always have complaints. Some people get high blood pressure or gain weight without knowing why. Or people bruise easily and have wounds that do not heal properly. But the complaints are not the same for everyone.,This increases your risk of adrenal cancer: Beckwith-Wiedeman syndrome Li-Fraumeni syndrome Familial adenomatous polyposis (FAP),"Most people with adrenal cancer undergo surgery. Then the doctor removes your adrenal gland with the tumor in it. But you can also receive medications, such as chemotherapy.",4.9
Buikvlieskanker,https://www.kanker.nl/kankersoorten/buikvlieskanker,2026-05-31 14:54:45,7fde6600b1f17ca4aabbb7c4541e50cce3a06792be40de3c6c5eaba9c71f8da5,Bij buikvlieskanker zitten er kankercellen op het buikvlies. Vaak zijn dit uitzaaiingen van kanker op een andere plek in je lichaam. Soms gaat het om pseudomyxoma peritonei of mesothelioom.,,Door kankercellen op je buikvlies kun je verschillende klachten krijgen. Bijvoorbeeld: een opgezwollen buik buikpijn een vol gevoel in je maag benauwdheid steeds druk op je blaas,,Samen met je arts bespreek je welke behandeling het meest geschikt is. Meestal is het doel van de behandeling om minder last te hebben van je klachten. Soms kun je ook langer leven door de behandeling.,"In peritoneal cancer, there are cancer cells on the peritoneum. These are often metastases of cancer in another place in your body. Sometimes it is pseudomyxoma peritonei or mesothelioma.",,"Cancer cells on your peritoneum can cause various complaints. For example: a swollen abdomen, abdominal pain, a feeling of fullness in your stomach, tightness and pressure on your bladder",,You and your doctor will discuss which treatment is most suitable. Usually the goal of treatment is to reduce your symptoms. Sometimes you can also live longer through treatment.,4.9
Botkanker (botsarcoom),https://www.kanker.nl/kankersoorten/botkanker-botsarcoom,2026-05-31 14:54:39,252b6b4d85ba4af14d3b9b62947a4544fafd2794d452d76118d1ba4ff43976e4,Botkanker een zeldzame soort kanker. De kanker ontstaat in een bot. Dat kan in elk bot zijn. Een andere naam voor botkanker is botsarcoom.,"Veel mensen die net te horen hebben gekregen dat ze kanker hebben, willen iets weten over hun vooruitzichten. Wat staat er te gebeuren en hoe lang heb ik nog te leven? Soms is daar iets over te zeggen, maar vaak ook niet. Jouw kans om van botkanker te genezen of om lang zonder veel klachten te leven,  hangt af van verschillende dingen. Bijvoorbeeld van de soort botkanker , hoe groot de tumor is, of er uitzaaiingen zijn en of de behandeling goed aanslaat. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen.","Van botkanker heb je in het begin niet zoveel klachten. Als de tumor groter wordt, kun je klachten krijgen. Bijvoorbeeld pijn aan een bot of gewricht.","Iedereen kan botkanker krijgen. Bij sommige soorten botkanker zijn er risicofactoren waardoor de kans dat je kanker krijgt, groter is. Bijvoorbeeld door de aandoening Li-frauminisyndroom (LFS) .","Veel mensen met botkanker krijgen een operatie. De chirurg verwijdert dan de tumor uit het bot. Je krijgt soms voor of na de operatie bestraling of chemotherapie. Welke behandeling je precies krijgt, hoor je van je arts. Dat ligt aan de soort botkanker , hoe groot de tumor is en of er uitzaaiingen zijn.",Bone cancer is a rare type of cancer. The cancer originates in a bone. That could be in any bone. Another name for bone cancer is bone sarcoma.,"Many people who have just been diagnosed with cancer want to know about their prospects. What's going to happen and how long do I have to live? Sometimes there is something to be said about that, but often not. Your chance of being cured of bone cancer or of living for a long time without many complaints depends on several things. For example, the type of bone cancer, how big the tumor is, whether there are metastases and whether the treatment is working well. Do you want to know where you stand? Ask your doctor. He might be able to tell you more.","You don't have many complaints about bone cancer in the beginning. If the tumor grows larger, you may experience symptoms. For example, pain in a bone or joint.","Anyone can get bone cancer. With some types of bone cancer there are risk factors that increase your risk of developing cancer. For example, due to the condition Li-fraumini syndrome (LFS).","Many people with bone cancer undergo surgery. The surgeon then removes the tumor from the bone. You will sometimes receive radiation or chemotherapy before or after the operation. You will hear from your doctor exactly which treatment you will receive. This depends on the type of bone cancer, how large the tumor is and whether there are any metastases.",4.9
